20:50:17 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 1.299 
20:50:31 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.905 
20:52:16 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.816 
20:52:55 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 1.376 
20:56:47 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.824 
20:58:45 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 1.025 
21:00:33 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 3.993 
21:01:10 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.947 
21:03:43 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.845 
21:03:56 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 3.437 
21:07:48 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.647 
21:09:05 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.831 
21:09:24 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 3.171 
21:10:06 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.832 
21:15:37 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.598 
21:16:33 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 0.977 
21:16:56 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 1.073 
21:18:35 GET /favicon.ico 1.1 404 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0 1.197 
21:38:09 GET /startNormal 1.1 404 PostmanRuntime/7.32.3 5.182 
21:38:21 PUT /cards/cards 1.1 404 PostmanRuntime/7.32.3 1.336 
21:38:26 PUT /api/cards/cards 1.1 404 PostmanRuntime/7.32.3 2.269 
21:39:30 POST /api/users/users/ 1.1 400 PostmanRuntime/7.32.3 35.732 
